question_id,source_dataset_row,medicine,difficulty,question,expected_answer,status,n_gold_chunks,n_essential_gold_chunks,n_supporting_gold_chunks,primary_gold_chunk_id,essential_gold_chunk_ids,all_relevant_gold_chunk_ids,match_confidences,notes
q015,faceis_revisadas.csv:15,TYLENOL,facil,Quais reações muito raras TYLENOL pode causar segundo a seção de reações adversas?,"Segundo a seção de reações adversas, TYLENOL pode causar, muito raramente, urticária, coceira e vermelhidão no corpo, reações alérgicas ao medicamento, aumento das transaminases e erupção fixa medicamentosa.",matched,3,1,2,chunk_bcded81d765f,chunk_bcded81d765f,chunk_bcded81d765f|chunk_97251e7ccd85|chunk_d4d5a2d20ab2,high|high|low,
q016,medias_revisadas.csv:1,AMOXIL,medio,Como deve ser ajustada a dose de Amoxil suspensão oral para uma criança de 30 kg com insuficiência renal moderada?,"Para crianças abaixo de 40 kg com insuficiência renal moderada, a bula orienta 15 mg/kg duas vezes ao dia, de 12 em 12 horas, respeitando o máximo de 500 mg duas vezes ao dia. Para uma criança de 30 kg, isso corresponde a 450 mg por dose, duas vezes ao dia.",matched,4,2,2,chunk_e88b1f4c2667,chunk_e88b1f4c2667|chunk_920654c7064a,chunk_e88b1f4c2667|chunk_920654c7064a|chunk_c0033b15fe08|chunk_05bc48672ff1,high|high|high|high,
q017,medias_revisadas.csv:2,AMOXIL,medio,Por que tomar Amoxil no início das refeições pode ser útil quando ocorrem enjoo ou diarreia durante o tratamento?,"A bula informa que diarreia e enjoo são reações comuns e que, quando acontecem, normalmente são leves e frequentemente podem ser evitados tomando-se o medicamento no início das refeições. Ao mesmo tempo, a alimentação não interfere na ação de Amoxil, que pode ser ingerido nas refeições.",matched,5,3,2,chunk_621ddc66ac1b,chunk_621ddc66ac1b|chunk_2273c1b76ec0|chunk_cf81874efa63,chunk_621ddc66ac1b|chunk_2273c1b76ec0|chunk_cf81874efa63|chunk_e3c9fe99e5cd|chunk_6fd3c193ea42,high|high|high|high|high,
q018,medias_revisadas.csv:3,AMOXIL,medio,Como a bula concilia a recomendação de tomar Amoxil nas refeições com a informação de que ele continua eficaz em outros horários?,"A bula recomenda ingerir Amoxil nas refeições, mas esclarece que ele continua eficaz mesmo se tomado em outros horários. Também afirma que a alimentação não interfere na ação de Amoxil. Assim, tomar nas refeições é aceitável e pode melhorar a tolerabilidade, mas não é necessário para manter a eficácia.",matched,5,3,2,chunk_621ddc66ac1b,chunk_621ddc66ac1b|chunk_6db122270a0d|chunk_9d0ab2325c26,chunk_621ddc66ac1b|chunk_6db122270a0d|chunk_9d0ab2325c26|chunk_7d57d737a19d|chunk_6fd3c193ea42,high|high|high|high|high,
q019,medias_revisadas.csv:4,AMOXIL,medio,Qual é o esquema de Amoxil para erradicação de Helicobacter pylori e quais outros tipos de medicamentos devem ser associados segundo a bula?,"Para erradicação de Helicobacter pylori, a bula da suspensão oral recomenda Amoxil 750 mg a 1 g duas vezes ao dia, associado a um inibidor da bomba de prótons, como omeprazol ou lansoprazol, e a outro agente antimicrobiano, como claritromicina ou metronidazol, por 7 dias.",matched,4,2,2,chunk_c0033b15fe08,chunk_c0033b15fe08|chunk_05bc48672ff1,chunk_c0033b15fe08|chunk_05bc48672ff1|chunk_6db122270a0d|chunk_e88b1f4c2667,high|high|high|high,
q020,medias_revisadas.csv:5,AMOXIL,medio,Por que pacientes com fenilcetonúria devem ter cautela especificamente com Amoxil suspensão oral?,"Porque a formulação em suspensão oral contém aspartamo, que é fonte de fenilalanina. A bula informa que Amoxil suspensão deve ser usado com cautela em pacientes com fenilcetonúria e orienta informar o médico caso o paciente tenha essa doença.",matched,4,2,2,chunk_ca122aa1e079,chunk_ca122aa1e079|chunk_e3c9fe99e5cd,chunk_ca122aa1e079|chunk_e3c9fe99e5cd|chunk_621ddc66ac1b|chunk_6fd3c193ea42,high|high|high|high,
q021,medias_revisadas.csv:6,RIVOTRIL,medio,"Em crianças com distúrbios epilépticos, como a faixa etária ou peso altera a dose inicial de Rivotril e que cuidado respiratório deve ser observado em lactentes e crianças pequenas?","Para recém-nascidos e crianças até 10 anos de idade ou 30 kg, a dose inicial média é de 0,01 a 0,03 mg/kg/dia, não excedendo 0,05 mg/kg/dia, dividida em 2 ou 3 doses. Para crianças entre 10 e 16 anos, a dose inicial é de 1 a 1,5 mg/dia, dividida em 2 a 3 doses. A bula também alerta que Rivotril pode aumentar a salivação e as secreções brônquicas em lactentes e crianças pequenas, devendo-se manter as vias aéreas livres.",partial_match,4,2,2,chunk_140011e11d9c,chunk_140011e11d9c|chunk_a942103ead0f,chunk_140011e11d9c|chunk_a942103ead0f|chunk_622a72b37a03|chunk_4d9019d9d6fe,high|high|high|high,Nem todas as seções esperadas foram cobertas: warning_precaution
q022,medias_revisadas.csv:7,RIVOTRIL,medio,"Por que pacientes idosos devem usar a menor dose possível de Rivotril, segundo a bula?","A bula informa que os efeitos dos benzodiazepínicos parecem ser maiores em pacientes idosos do que em pacientes mais jovens, mesmo em concentrações plasmáticas similares. Na seção de posologia, orienta que a dose mais baixa possível deve ser utilizada em idosos e que deve haver cuidado especial durante alterações de dose.",partial_match,4,2,2,chunk_5b49c617ebff,chunk_5b49c617ebff|chunk_78815ccfea71,chunk_5b49c617ebff|chunk_78815ccfea71|chunk_063f6288233c|chunk_138608289ce9,high|high|high|high,Nem todas as seções esperadas foram cobertas: warning_precaution
q023,medias_revisadas.csv:8,RIVOTRIL,medio,Como a conduta com Rivotril difere entre pacientes com comprometimento hepático grave e aqueles com comprometimento hepático leve a moderado?,"Pacientes com comprometimento hepático grave não devem ser tratados com clonazepam/Rivotril, pois a bula contraindica o uso nesses casos. Já pacientes com comprometimento hepático leve a moderado devem receber a dose mais baixa possível.",matched,5,3,2,chunk_138608289ce9,chunk_138608289ce9|chunk_5b49c617ebff|chunk_78815ccfea71,chunk_138608289ce9|chunk_5b49c617ebff|chunk_78815ccfea71|chunk_063f6288233c|chunk_551b8de262e2,high|high|high|high|high,
q024,medias_revisadas.csv:9,RIVOTRIL,medio,Quais são as recomendações da bula sobre o uso de Rivotril com álcool e com suco de toranja?,"A bula orienta não tomar Rivotril com álcool e/ou depressores do sistema nervoso central, porque essa combinação pode aumentar os efeitos do medicamento e causar sedação grave, coma ou morte, além de depressão cardiovascular e/ou respiratória. Sobre alimentos, informa que interações com alimentos não foram estabelecidas, mas que o suco de toranja pode aumentar o efeito de Rivotril.",partial_match,3,1,2,chunk_d1e77a6a6e34,chunk_d1e77a6a6e34,chunk_d1e77a6a6e34|chunk_2ff643ba29cb|chunk_3e429871e6b5,high|high|high,Nem todas as seções esperadas foram cobertas: warning_precaution
q025,medias_revisadas.csv:10,RIVOTRIL,medio,Como a orientação para não interromper Rivotril subitamente se relaciona com o risco de abstinência e novas crises epilépticas descrito na bula?,"A bula informa que a retirada brusca deve ser evitada, pois a descontinuação súbita pode causar sintomas de abstinência, incluindo ansiedade, alterações de humor, irritabilidade e convulsões epiléticas. Também orienta que o paciente não pare de tomar Rivotril subitamente, pois pode ter novas crises epilépticas, e que a interrupção deve ocorrer com redução gradual da dose sob orientação médica.",partial_match,4,2,2,chunk_063f6288233c,chunk_063f6288233c|chunk_5b49c617ebff,chunk_063f6288233c|chunk_5b49c617ebff|chunk_d77c1f8474ad|chunk_8437acb2fe62,high|high|high|high,Nem todas as seções esperadas foram cobertas: warning_precaution
q026,medias_revisadas.csv:11,TYLENOL,medio,Como a indicação por idade de TYLENOL se relaciona com a contraindicação para menores de 12 anos e com a posologia descrita na bula?,"A bula informa que TYLENOL comprimidos é de uso adulto e pediátrico acima de 12 anos e contraindicado para menores de 12 anos. A posologia apresentada também se aplica a adultos e crianças acima de 12 anos: TYLENOL 500 mg, 1 a 2 comprimidos, 3 a 4 vezes ao dia; ou TYLENOL 750 mg, 1 comprimido, 3 a 5 vezes ao dia, respeitando a dose máxima diária.",partial_match,4,2,2,chunk_77f72cabf81a,chunk_77f72cabf81a|chunk_d4d5a2d20ab2,chunk_77f72cabf81a|chunk_d4d5a2d20ab2|chunk_983a58909e27|chunk_3c190b3ea9f8,high|high|high|high,Nem todas as seções esperadas foram cobertas: identification
q027,medias_revisadas.csv:12,TYLENOL,medio,Qual é a dose diária máxima recomendada de TYLENOL e que risco a bula associa ao uso acima das doses recomendadas?,"A dose diária máxima recomendada de paracetamol é de 4000 mg, equivalente a 8 comprimidos de TYLENOL 500 mg ou 5 comprimidos de TYLENOL 750 mg, em doses fracionadas, sem exceder 1000 mg por dose em intervalos de 4 a 6 horas em 24 horas. A bula alerta que doses excessivas acima das recomendadas podem causar danos ao fígado.",matched,4,2,2,chunk_d4d5a2d20ab2,chunk_d4d5a2d20ab2|chunk_983a58909e27,chunk_d4d5a2d20ab2|chunk_983a58909e27|chunk_97251e7ccd85|chunk_3c190b3ea9f8,high|high|high|high,
q028,medias_revisadas.csv:13,TYLENOL,medio,Como a ingestão de alimentos influencia a absorção de TYLENOL e como isso se relaciona com o início de ação informado na bula?,"A bula informa que a absorção de TYLENOL é mais rápida em jejum. Os alimentos podem afetar a velocidade da absorção, mas não a quantidade absorvida. A bula também informa que o efeito tem início 15 a 30 minutos após a administração oral e permanece por 4 a 6 horas.",matched,4,2,2,chunk_578c6a49ac86,chunk_578c6a49ac86|chunk_01578455e892,chunk_578c6a49ac86|chunk_01578455e892|chunk_97251e7ccd85|chunk_d4d5a2d20ab2,high|high|high|high,
q029,medias_revisadas.csv:14,TYLENOL,medio,"Se uma dose de TYLENOL for esquecida, como o paciente deve proceder sem dobrar dose ou ultrapassar os limites de uso da bula?","Se esquecer uma dose, a bula orienta tomá-la assim que lembrar, caso ainda haja necessidade, e então ajustar o horário das próximas tomadas. Não se deve tomar dose dobrada para compensar a dose esquecida. A posologia também limita cada dose a 1000 mg, com intervalos de 4 a 6 horas, e a dose diária máxima a 4000 mg em 24 horas.",matched,4,2,2,chunk_2f6979089ee8,chunk_2f6979089ee8|chunk_d4d5a2d20ab2,chunk_2f6979089ee8|chunk_d4d5a2d20ab2|chunk_97251e7ccd85|chunk_983a58909e27,high|high|medium|medium,
q030,medias_revisadas.csv:15,TYLENOL,medio,Quais cuidados especiais devem ser observados em pacientes com problemas no fígado antes de usar TYLENOL e por que esse cuidado é importante segundo a bula?,A bula orienta que pacientes com problemas no fígado consultem o médico antes de usar TYLENOL. Esse cuidado é importante porque a bula também alerta que não se deve tomar mais que a dose recomendada e que a superdose de paracetamol pode causar danos ao fígado.,matched,4,2,2,chunk_97251e7ccd85,chunk_97251e7ccd85|chunk_983a58909e27,chunk_97251e7ccd85|chunk_983a58909e27|chunk_01578455e892|chunk_d4d5a2d20ab2,high|high|high|high,
q031,dificeis_revisadas.csv:1,AMOXIL,dificil,"Em um paciente que usa varfarina e apresenta insuficiência renal moderada, quais cuidados a bula orienta quanto ao anticoagulante e como a posologia de Amoxil deve ser ajustada? Explique a relação entre eliminação renal e necessidade de ajuste.","A bula orienta informar o médico sobre o uso de anticoagulantes como varfarina; o médico fará monitoramento e, se necessário, poderá ajustar a dose dos anticoagulantes. Em insuficiência renal moderada, a dose máxima para adultos e crianças acima de 40 kg é 500 mg duas vezes ao dia, de 12 em 12 horas, porque na insuficiência renal a eliminação do antibiótico é mais lenta e a dose diária total pode precisar ser reduzida.",matched,5,3,2,chunk_e3c9fe99e5cd,chunk_e3c9fe99e5cd|chunk_e88b1f4c2667|chunk_05bc48672ff1,chunk_e3c9fe99e5cd|chunk_e88b1f4c2667|chunk_05bc48672ff1|chunk_920654c7064a|chunk_c0033b15fe08,high|high|high|high|high,
q032,dificeis_revisadas.csv:2,AMOXIL,dificil,"Em pacientes com insuficiência renal grave submetidos a diálise peritoneal ou hemodiálise, como a bula diferencia o manejo posológico de Amoxil e qual é a justificativa relacionada à remoção da amoxicilina?","Para diálise peritoneal, usa-se a mesma posologia indicada para insuficiência renal grave, e a bula informa que a diálise peritoneal não remove a amoxicilina do corpo. Para hemodiálise, também se usa a posologia de insuficiência renal grave, mas a amoxicilina é removida do sangue por hemodiálise; por isso, uma dose adicional de 500 mg para adultos e crianças acima de 40 kg, ou 15 mg/kg para crianças abaixo de 40 kg, pode ser administrada durante e ao final de cada diálise.",matched,4,2,2,chunk_920654c7064a,chunk_920654c7064a|chunk_619626ac8cd4,chunk_920654c7064a|chunk_619626ac8cd4|chunk_e88b1f4c2667|chunk_05bc48672ff1,high|high|high|high,
q033,dificeis_revisadas.csv:3,AMOXIL,dificil,"Ao escolher entre cápsulas e suspensão oral de Amoxil para um paciente com fenilcetonúria e histórico de reações alérgicas, quais componentes da formulação exigem cautela e como esses alertas diferem entre as apresentações?","Na suspensão oral, a bula informa que há aspartamo, fonte de fenilalanina, devendo ser usado com cautela em pacientes com fenilcetonúria; também informa que contém benzoato de sódio, que pode causar reações alérgicas, como asma, especialmente em pessoas alérgicas ao ácido acetilsalicílico. Nas cápsulas, a bula alerta para corantes como vermelho de eritrosina, azul de indigotina, dióxido de titânio e óxido de ferro amarelo, que podem eventualmente causar reações alérgicas. Assim, a avaliação depende da apresentação e do tipo de risco do paciente.",matched,5,4,1,chunk_381105994f64,chunk_381105994f64|chunk_381105994f64|chunk_e3c9fe99e5cd|chunk_ca122aa1e079,chunk_381105994f64|chunk_381105994f64|chunk_e3c9fe99e5cd|chunk_ca122aa1e079|chunk_621ddc66ac1b,high|high|high|high|high,
q034,dificeis_revisadas.csv:4,AMOXIL,dificil,"Durante o uso de Amoxil, um paciente apresenta diarreia grave com sangue e cólicas abdominais, além de erupção cutânea com bolhas. Que eventos graves descritos na bula devem ser considerados e qual conduta a bula orienta diante de sinais alérgicos importantes?","A diarreia grave, possivelmente com sangue e acompanhada de cólicas, é compatível com colite associada a antibióticos descrita na bula. A erupção cutânea com bolhas pode corresponder a reações cutâneas graves, como eritema multiforme, necrólise epidérmica tóxica, síndrome de Stevens-Johnson, dermatite esfoliativa bolhosa, exantema pustuloso, doença IgA linear, DRESS ou SDRIFE. A bula alerta que Amoxil pode causar reações alérgicas severas e reações cutâneas severas; diante de sinais repentinos de alergia, como erupção, coceira, urticária, inchaço da face/lábios/língua, falta de ar ou problemas para respirar, o paciente deve parar de usar Amoxil e procurar socorro médico o mais rápido possível.",matched,5,3,2,chunk_e3c9fe99e5cd,chunk_e3c9fe99e5cd|chunk_f062de23819d|chunk_e0bc72b64caf,chunk_e3c9fe99e5cd|chunk_f062de23819d|chunk_e0bc72b64caf|chunk_09405370d2ab|chunk_1ddf28119f88,high|high|high|high|high,
q035,dificeis_revisadas.csv:5,AMOXIL,dificil,"Compare os esquemas de Amoxil para infecção grave em adultos, infecção respiratória purulenta grave ou recorrente, gonorreia e erradicação de Helicobacter pylori, destacando quando a bula exige associação com outros medicamentos.","Para adultos e crianças acima de 40 kg, a dose padrão em infecções mais graves é 500 mg três vezes ao dia, de 8 em 8 horas. Para infecção respiratória purulenta grave ou recorrente, a bula recomenda dose alta de 3 g duas vezes ao dia, de 12 em 12 horas, respeitando o máximo recomendável de 6 g ao dia em doses divididas. Para gonorreia, a bula descreve dose única de 3 g. Para erradicação de Helicobacter pylori, Amoxil deve ser usado em associação com um inibidor da bomba de prótons, como omeprazol ou lanzoprazol, e outro antimicrobiano, como claritromicina ou metronidazol, por 7 dias.",matched,4,2,2,chunk_c0033b15fe08,chunk_c0033b15fe08|chunk_05bc48672ff1,chunk_c0033b15fe08|chunk_05bc48672ff1|chunk_9d0ab2325c26|chunk_e88b1f4c2667,high|high|high|high,
q036,dificeis_revisadas.csv:6,RIVOTRIL,dificil,"Em um paciente idoso com comprometimento hepático leve a moderado que também usa depressores do sistema nervoso central, quais riscos e ajustes a bula exige considerar antes de iniciar Rivotril?","A bula informa que os efeitos dos benzodiazepínicos parecem ser maiores em idosos, mesmo em concentrações plasmáticas similares, e que nesses pacientes deve ser usada a menor dose possível, com cuidado especial durante alterações de dose. Para comprometimento hepático leve a moderado, a bula também recomenda a menor dose possível; em comprometimento hepático grave, Rivotril não deve ser usado. Além disso, não se deve tomar Rivotril com álcool e/ou depressores do sistema nervoso central, pois a combinação pode aumentar seus efeitos, com potencial sedação grave que pode resultar em coma ou morte, depressão cardiovascular e/ou respiratória.",partial_match,5,4,1,chunk_d1e77a6a6e34,chunk_d1e77a6a6e34|chunk_5b49c617ebff|chunk_2ff643ba29cb|chunk_90dfe3d49fe4,chunk_d1e77a6a6e34|chunk_5b49c617ebff|chunk_2ff643ba29cb|chunk_90dfe3d49fe4|chunk_07b5a2953783,high|high|high|high|high,Nem todas as seções esperadas foram cobertas: warning_precaution
q037,dificeis_revisadas.csv:7,RIVOTRIL,dificil,"Um paciente com epilepsia em uso de Rivotril deseja interromper o tratamento subitamente. Quais riscos a bula descreve envolvendo estado de mal epiléptico, dependência e abstinência, e qual deve ser a estratégia de retirada?","A bula alerta que Rivotril pode precipitar estado de mal epiléptico e orienta falar com o médico antes de aumentar a dose ou interromper abruptamente a medicação. O uso de benzodiazepínicos pode levar à dependência física e psicológica, com risco maior em doses altas, tratamentos prolongados e história de abuso de álcool ou drogas. A descontinuação brusca pode causar sintomas de abstinência, incluindo psicoses, alterações comportamentais, tremor, sudorese, agitação, distúrbios do sono, ansiedade e convulsões epilépticas. Portanto, a retirada brusca deve ser evitada e o tratamento deve ser interrompido por redução gradativa da dose diária, sob orientação médica.",partial_match,3,1,2,chunk_f69004fcc440,chunk_f69004fcc440,chunk_f69004fcc440|chunk_d77c1f8474ad|chunk_8437acb2fe62,high|high|high,Nem todas as seções esperadas foram cobertas: warning_precaution
q038,dificeis_revisadas.csv:8,RIVOTRIL,dificil,"Por que a bula contraindica Rivotril para tratamento de transtorno do pânico em pacientes com histórico de apneia do sono, quando se consideram seus efeitos no sistema nervoso e no sistema respiratório?","A bula contraindica Rivotril comprimidos e gotas para tratamento de transtornos do pânico em pacientes com histórico de apneia do sono. Ela informa que clonazepam é um benzodiazepínico que causa inibição leve do sistema nervoso, com ação sedativa leve, relaxante muscular e tranquilizante, e também descreve risco de depressão respiratória. Além disso, álcool e depressores do sistema nervoso central podem aumentar os efeitos de Rivotril, com sedação grave, coma ou morte e depressão cardiovascular e/ou respiratória. Assim, usando apenas a bula, a contraindicação se relaciona ao risco de agravar comprometimento respiratório em pacientes com apneia do sono.",partial_match,5,4,1,chunk_4569774ff1a4,chunk_4569774ff1a4|chunk_5e3d4ac1c930|chunk_551b8de262e2|chunk_6c577f16cf9f,chunk_4569774ff1a4|chunk_5e3d4ac1c930|chunk_551b8de262e2|chunk_6c577f16cf9f|chunk_07b5a2953783,high|high|high|high|high,"Nem todas as seções esperadas foram cobertas: warning_precaution, adverse_reaction"
q039,dificeis_revisadas.csv:9,RIVOTRIL,dificil,"Se um paciente em uso de Rivotril consome suco de toranja e também utiliza medicamentos que agem no sistema nervoso, que efeitos potencializados a bula permite prever e quais limites de informação devem ser reconhecidos?","A bula informa que interações com alimentos não foram estabelecidas, mas que o suco de toranja pode aumentar o efeito de Rivotril. Também orienta informar o médico sobre medicamentos que agem no sistema nervoso, como antidepressivos, medicamentos para dormir, alguns analgésicos, antipsicóticos, ansiolíticos e anticonvulsivantes, pois podem interagir com Rivotril. Com álcool ou depressores do sistema nervoso central, a combinação pode aumentar os efeitos, com sedação grave, coma ou morte e depressão cardiovascular e/ou respiratória. A bula não quantifica alteração de concentração plasmática nem descreve mecanismo farmacocinético do suco de toranja; portanto, esses detalhes não podem ser respondidos apenas pela bula.",partial_match,3,1,2,chunk_d1e77a6a6e34,chunk_d1e77a6a6e34,chunk_d1e77a6a6e34|chunk_2ff643ba29cb|chunk_3e429871e6b5,high|high|high,Nem todas as seções esperadas foram cobertas: warning_precaution
q040,dificeis_revisadas.csv:10,RIVOTRIL,dificil,"Quais precauções devem ser adotadas antes de iniciar Rivotril em pacientes com depressão, tentativa de suicídio prévia ou risco de alterações comportamentais, e quais eventos psiquiátricos da bula fundamentam essa cautela?","Antes de tomar Rivotril, o paciente deve informar o médico se tem ou teve sinais ou sintomas de depressão e/ou tentativa de suicídio. A cautela se fundamenta nos eventos psiquiátricos relatados na bula, como amnésia, alucinações, psicose, tentativa de suicídio, ideias suicidas, distúrbios emocionais e de humor, estado confusional e desorientação. A bula também descreve reações paradoxais como inquietação, agitação, irritabilidade, agressividade, ansiedade, distúrbios do sono, delírio, raiva, pesadelos, alucinações, psicose, hiperatividade e comportamento inapropriado, e informa que depressão pode estar associada à doença de base.",partial_match,3,1,2,chunk_c5bdb78f220a,chunk_c5bdb78f220a,chunk_c5bdb78f220a|chunk_31389e77cc89|chunk_aec91486cda3,high|high|high,"Nem todas as seções esperadas foram cobertas: warning_precaution, adverse_reaction"
