id,leaflet_id,section_id,medicine,section_type,leaflet_type,chunk_index,start_char,end_char,char_len,section_title,section_heading_path,text
chunk_920654c7064a,leaf_0ee4a572a9d5,sec_70be16f94d2d,amoxil,dosage,patient_leaflet,2,2138,3688,1550,COMO DEVO USAR ESTE MEDICAMENTO?,COMO DEVO USAR ESTE MEDICAMENTO? > Modelo de Texto de Bula – Pacientes Amoxil[®] Cápsulas  > **Pacientes que recebem diálise peritoneal**  > **Pacientes que recebem hemodiálise**  > **7.,"imo de 500 mg (uma cápsula) duas vezes ao dia (de 12 em 12 horas); - insuficiência grave: máximo de 500 mg (uma cápsula) ao dia. 3 **==> picture [87 x 28] intentionally omitted <==** ## Modelo de Texto de Bula – Pacientes Amoxil[®] Cápsulas ## **Pacientes que recebem diálise peritoneal** Usa-se a mesma posologia indicada para pacientes com insuficiência renal grave. A diálise peritoneal (processo de limpeza das substâncias tóxicas do organismo através do peritônio, membrana que envolve o abdômen) não remove a amoxicilina do corpo. ## **Pacientes que recebem hemodiálise** Usa-se a mesma posologia indicada para pacientes com insuficiência renal grave. A amoxicilina é removida do sangue por hemodiálise (processo que substitui os rins na filtragem sanguínea). Portanto, uma dose adicional (500 mg para adultos e crianças acima de 40kg ou 15 mg/kg para crianças abaixo de 40 kg) pode ser administrada durante e no final de cada diálise. Seu médico poderá indicar tratamento por via parenteral (feito com aplicação de injeções intravenosas, intramusculares ou subcutâneas) nos casos em que a via oral for considerada inadequada (particularmente nos tratamentos urgentes de infecções graves). Conforme o grau de insuficiência renal, talvez seu médico ache necessário reduzir a dose diária total. **Siga a orientação de seu médico, respeitando sempre os horários, as doses e a duração do tratamento. Não interrompa o tratamento sem o conhecimento de seu médico. Este medicamento não deve ser partido ou mastigado.** ## **7."
chunk_b0a23e73f642,leaf_0ee4a572a9d5,sec_0b8771c90cce,amoxil,missed_dose,patient_leaflet,0,0,346,346,O QUE DEVO FAZER QUANDO EU ME ESQUECER DE USAR ESTE MEDICAMENTO?,O QUE DEVO FAZER QUANDO EU ME ESQUECER DE USAR ESTE MEDICAMENTO? > **8.,"O QUE DEVO FAZER QUANDO EU ME ESQUECER DE USAR ESTE MEDICAMENTO?** Se você esquecer uma dose, tome-a assim que se lembrar, mas continue com o horário normal das demais. Só não tome duas doses com intervalo igual ou menor que 1 hora. **Em caso de dúvidas, procure orientação do farmacêutico ou de seu médico, ou cirurgião-dentista.** ## **8."
chunk_2273c1b76ec0,leaf_0ee4a572a9d5,sec_b161227b9c29,amoxil,adverse_reaction,patient_leaflet,0,0,1532,1532,QUAIS OS MALES QUE ESTE MEDICAMENTO PODE ME CAUSAR?,"QUAIS OS MALES QUE ESTE MEDICAMENTO PODE ME CAUSAR? > **Reações comuns (ocorrem entre 1% e 10% dos pacientes que utilizam este medicamento):**  > **Reações incomuns (ocorrem entre 0,1% e 1% dos pacientes que utilizam este medicamento):**  > **Reações muito raras (ocorrem em menos de 0,01% dos pacientes que utilizam este medicamento):** ","QUAIS OS MALES QUE ESTE MEDICAMENTO PODE ME CAUSAR?** Avise seu médico o mais cedo possível se você não se sentir bem durante o tratamento com **Amoxil[®]** . Assim como todo medicamento, **Amoxil[®]** pode provocar reações adversas, porém isso não ocorre com todas as pessoas. Os efeitos colaterais deste medicamento geralmente são leves. ## **Reações comuns (ocorrem entre 1% e 10% dos pacientes que utilizam este medicamento):** - Diarreia (várias evacuações amolecidas por dia) e enjoo; quando isso acontece, os sintomas normalmente são leves e com frequência podem ser evitados tomando-se o medicamento no início das refeições. Se continuarem ou se tornarem graves, consulte o médico. - Erupções da pele. ## **Reações incomuns (ocorrem entre 0,1% e 1% dos pacientes que utilizam este medicamento):** - Vômito, urticária e coceira. ## **Reações muito raras (ocorrem em menos de 0,01% dos pacientes que utilizam este medicamento):** - Diminuição de glóbulos brancos (leucopenia reversível), que pode resultar em infecções frequentes, como febre, calafrios, inflamação da garganta ou úlceras na boca; - Baixa contagem de plaquetas (trombocitopenia reversível), que pode resultar em sangramento ou hematomas (manchas roxas) que surgem com mais facilidade que o normal; - Destruição de glóbulos vermelhos e consequentemente anemia (anemia hemolítica), que pode resultar em cansaço, dores de cabeça e falta de ar causada pela prática de exercícios físicos, vertigem, palidez e amarelamento da pele e/ou dos olhos;"
chunk_1ddf28119f88,leaf_0ee4a572a9d5,sec_b161227b9c29,amoxil,adverse_reaction,patient_leaflet,1,1236,2557,1321,QUAIS OS MALES QUE ESTE MEDICAMENTO PODE ME CAUSAR?,QUAIS OS MALES QUE ESTE MEDICAMENTO PODE ME CAUSAR? > Modelo de Texto de Bula – Pacientes Amoxil[®] Cápsulas ,"roxas) que surgem com mais facilidade que o normal; - Destruição de glóbulos vermelhos e consequentemente anemia (anemia hemolítica), que pode resultar em cansaço, dores de cabeça e falta de ar causada pela prática de exercícios físicos, vertigem, palidez e amarelamento da pele e/ou dos olhos; - Sinais repentinos de alergia, como erupções da pele, prurido (coceira) ou urticária, inchaço da face, dos lábios, da língua ou de outras partes do corpo, falta de ar, respiração ofegante ou problemas para respirar; se esses sintomas ocorrerem, pare de usar **Amoxil[®]** e procure socorro médico o mais rápido possível; 4 **==> picture [87 x 28] intentionally omitted <==** ## Modelo de Texto de Bula – Pacientes Amoxil[®] Cápsulas - Dor no peito, que pode ser um sinal de uma reação alérgica potencialmente grave chamada síndrome de Kounis; - Vômitos repetitivos (1 a 4 horas após a administração de **Amoxil[®]** ), dores no estômago, sonolência anormal, diarreia e pressão baixa, que podem ser um sinal de uma reação alérgica grave denominada síndrome de enterocolite induzida por medicamentos; - Convulsões (ataques) podem ocorrer em pacientes com função renal prejudicada ou que estejam recebendo doses altas do medicamento; - Hipercinesia (presença de movimentos exacerbados e incontrolados), tontura;"
chunk_e6dfbd610436,leaf_0ee4a572a9d5,sec_b161227b9c29,amoxil,adverse_reaction,patient_leaflet,2,2260,3608,1348,QUAIS OS MALES QUE ESTE MEDICAMENTO PODE ME CAUSAR?,QUAIS OS MALES QUE ESTE MEDICAMENTO PODE ME CAUSAR?,"eação alérgica grave denominada síndrome de enterocolite induzida por medicamentos; - Convulsões (ataques) podem ocorrer em pacientes com função renal prejudicada ou que estejam recebendo doses altas do medicamento; - Hipercinesia (presença de movimentos exacerbados e incontrolados), tontura; - Candidíase mucocutânea, infecção micótica (causada por fungos) que normalmente afeta as partes íntimas ou a boca; na área genital, pode provocar coceira e queimação (com a presença de uma fina camada de secreção branca), e na boca ou na língua podem surgir pintas brancas dolorosas; - Colite associada a antibióticos (inflamação no cólon (intestino grosso), causando diarreia grave, que também pode conter sangue e ser acompanhada de cólicas abdominais; - Sua língua pode mudar de cor, ficando amarela, marrom ou preta, e dar a impressão de ter pelos (língua pilosa negra); - Inflamação da membrana que reveste o cérebro (meningite asséptica); - Erupção cutânea com bolhas dispostas em círculo com crosta central ou como um colar de pérolas (doença IgA linear); - Efeitos relacionados ao fígado; esses sintomas podem manifestar-se como enjoo, vômito, perda de apetite, sensação geral de mal-estar, febre, coceira, amarelamento da pele e dos olhos e escurecimento da urina e aumento de algumas substâncias (enzimas) produzidas pelo fígado;"
chunk_f062de23819d,leaf_0ee4a572a9d5,sec_b161227b9c29,amoxil,adverse_reaction,patient_leaflet,3,3311,4822,1511,QUAIS OS MALES QUE ESTE MEDICAMENTO PODE ME CAUSAR?,QUAIS OS MALES QUE ESTE MEDICAMENTO PODE ME CAUSAR?,"(doença IgA linear); - Efeitos relacionados ao fígado; esses sintomas podem manifestar-se como enjoo, vômito, perda de apetite, sensação geral de mal-estar, febre, coceira, amarelamento da pele e dos olhos e escurecimento da urina e aumento de algumas substâncias (enzimas) produzidas pelo fígado; - Reações cutâneas graves: erupção cutânea (eritema multiforme), que pode formar bolhas (com pequenas manchas escuras centrais rodeadas por uma área pálida, com um anel escuro ao redor da borda); erupção cutânea generalizada com bolhas e descamação da pele na maior parte da superfície corporal (necrólise epidérmica tóxica); erupções na pele com bolhas e descamação, especialmente ao redor da boca, nariz, olhos e genitais (síndrome de Stevens-Johnson); erupções na pele com bolhas contendo pus (dermatite esfoliativa bolhosa); erupções escamosas na pele, com bolhas e inchaços sob a pele (exantema pustuloso); - Doença renal (problemas para urinar, possivelmente com dor e presença de sangue ou cristais na urina); - Sintomas semelhantes aos da gripe com erupção cutânea, febre, glândulas inchadas e resultados anormais de exames de sangue (incluindo o aumento dos glóbulos brancos (eosinofilia) e enzimas hepáticas) (Reação do medicamento com eosinofilia e sintomas sistêmicos (DRESS)); - uma erupção cutânea vermelha comumente observada em ambos os lados das nádegas, parte interna superior das coxas, axilas, pescoço (Exantema Intertriginoso e Flexural Simétrico Relacionado a Medicamentos (SDRIFE))."
chunk_2d77bceb8a02,leaf_0ee4a572a9d5,sec_b161227b9c29,amoxil,adverse_reaction,patient_leaflet,4,4525,6074,1549,QUAIS OS MALES QUE ESTE MEDICAMENTO PODE ME CAUSAR?,QUAIS OS MALES QUE ESTE MEDICAMENTO PODE ME CAUSAR? > **9. O QUE FAZER SE ALGUÉM USAR UMA QUANTIDADE MAIOR QUE A INDICADA DESTE MEDICAMENTO?**  > **III) DIZERES LEGAIS**  > Modelo de Texto de Bula – Pacientes Amoxil[®] Cápsulas ,"páticas) (Reação do medicamento com eosinofilia e sintomas sistêmicos (DRESS)); - uma erupção cutânea vermelha comumente observada em ambos os lados das nádegas, parte interna superior das coxas, axilas, pescoço (Exantema Intertriginoso e Flexural Simétrico Relacionado a Medicamentos (SDRIFE)). **Se qualquer desconforto incomum se manifestar enquanto você estiver tomando o medicamento, informe seu médico o mais breve possível.** **Informe ao seu médico, cirurgião-dentista ou farmacêutico o aparecimento de reações indesejáveis pelo uso do medicamento. Informe também à empresa através do seu serviço de atendimento.** ## **9. O QUE FAZER SE ALGUÉM USAR UMA QUANTIDADE MAIOR QUE A INDICADA DESTE MEDICAMENTO?** É pouco provável que ocorram problemas graves em caso de superdosagem de amoxicilina. As reações mais comuns são enjoo, vômito e diarreia. Procure seu médico para que os sintomas sejam tratados. **Em caso de uso de grande quantidade deste medicamento, procure rapidamente socorro médico e leve a embalagem ou bula do medicamento se possível. Ligue para 0800 722 6001, se você precisar de mais orientações.** ## **III) DIZERES LEGAIS** Registro: 1.0107.0003 Produzido por: Glaxo Wellcome Production Zone Industrielle de la Peyennière, 53100, Mayenne – França. 5 **==> picture [87 x 28] intentionally omitted <==** ## Modelo de Texto de Bula – Pacientes Amoxil[®] Cápsulas Importado e Registrado por: **GlaxoSmithKline Brasil Ltda.** Estrada dos Bandeirantes, 8464 - Rio de Janeiro - RJ CNPJ: 33.247.743/0001-10"
chunk_dc0a772ae1a8,leaf_0ee4a572a9d5,sec_b161227b9c29,amoxil,adverse_reaction,patient_leaflet,5,5777,6286,509,QUAIS OS MALES QUE ESTE MEDICAMENTO PODE ME CAUSAR?,QUAIS OS MALES QUE ESTE MEDICAMENTO PODE ME CAUSAR? > Modelo de Texto de Bula – Pacientes Amoxil[®] Cápsulas  > **VENDA SOB PRESCRIÇÃO COM RETENÇÃO DA RECEITA**  > **,"la Peyennière, 53100, Mayenne – França. 5 **==> picture [87 x 28] intentionally omitted <==** ## Modelo de Texto de Bula – Pacientes Amoxil[®] Cápsulas Importado e Registrado por: **GlaxoSmithKline Brasil Ltda.** Estrada dos Bandeirantes, 8464 - Rio de Janeiro - RJ CNPJ: 33.247.743/0001-10 ## **VENDA SOB PRESCRIÇÃO COM RETENÇÃO DA RECEITA** L1991_amoxil_cap_gel_dura_GDS35_IPI16 **==> picture [43 x 43] intentionally omitted <==** **==> picture [50 x 41] intentionally omitted <==** 6 ## **"
chunk_001ac8e07f07,leaf_43197a2b402b,sec_815d146d453e,amoxil,identification,patient_leaflet,0,0,67,67,Identificação do medicamento,Identificação do medicamento,Identificação do medicamento<br>Posologia e modo de usar<br>VP:<br>
chunk_1344e2f0da92,leaf_bd4605da9c63,sec_d48dc7bdac53,amoxil,identification,patient_leaflet,0,0,114,114,Identificação do medicamento,Identificação do medicamento,Identificação do Medicamento<br>Indicações<br>Características Farmacológicas<br>Posologia e Modo de Usar<br>VP<br>
chunk_e09fbcda21f8,leaf_7d51be0653cd,sec_104bf386f9c8,amoxil,identification,patient_leaflet,0,0,96,96,Identificação do medicamento,Identificação do medicamento,Identificação do medicamento<br>5. Advertências e precauções<br>III. Dizeres legais<br>VP:<br>I)
chunk_ca122aa1e079,leaf_d76f76b8b2f4,sec_2aa96fc3ee1d,amoxil,identification,patient_leaflet,0,0,1458,1458,Identificação do medicamento,Identificação do medicamento > **APRESENTAÇÕES**  > **USO ORAL USO ADULTO E PEDIÁTRICO**  > **COMPOSIÇÃO**  > **II) INFORMAÇÕES AO PACIENTE**  > **1.,"IDENTIFICAÇÃO DO MEDICAMENTO** **Amoxil**[] amoxicilina ## **APRESENTAÇÕES** **Amoxil**[] pó para suspensão oral é apresentado em embalagem com frasco de 150 mL (250 mg/5 mL e 500 mg/5 mL) acompanhado de colher dosadora. ## **USO ORAL USO ADULTO E PEDIÁTRICO** ## **COMPOSIÇÃO** Cada dose de 5 mL de suspensão oral com 250 mg/5 mL contém: amoxicilina...................................................................................................................................................................250mg (equivalentes a 287 mg de amoxicilina tri-hidratada) veículo[*] q.s.p. .................................................................................................................................................................5 mL Cada dose de 5 mL de suspensão oral com 500 mg/5 mL contém: amoxicilina..................................................................................................................................................................500 mg (equivalentes a 574 mg de amoxicilina tri-hidratada) veículo[*] q.s.p. .................................................................................................................................................................5 mL *Veículo: crospovidona, goma xantana, carmelose sódica, benzoato de sódio, sílica coloidal, estearato de magnésio, sabor de limão-pêssego-morango e aspartamo. ## **II) INFORMAÇÕES AO PACIENTE** ## **1."
chunk_4cbe37a723e5,leaf_d76f76b8b2f4,sec_65e376921073,amoxil,indication,patient_leaflet,0,0,355,355,PARA QUE ESTE MEDICAMENTO É INDICADO?,PARA QUE ESTE MEDICAMENTO É INDICADO? > **2.,"PARA QUE ESTE MEDICAMENTO É INDICADO?** **Amoxil[®]** , um antibiótico eficaz contra grande variedade de bactérias, é indicado para tratamento de infecções bacterianas causadas por germes sensíveis à ação da amoxicilina. Entretanto, seu médico pode receitar este medicamento para outro uso. Se desejar mais informações, pergunte ao seu médico. ## **2."
chunk_2a16089a8bd9,leaf_d76f76b8b2f4,sec_7d8a35683796,amoxil,simplified_mechanism,patient_leaflet,0,0,516,516,COMO ESTE MEDICAMENTO FUNCIONA?,COMO ESTE MEDICAMENTO FUNCIONA? > **3.,"COMO ESTE MEDICAMENTO FUNCIONA?** **Amoxil[®]** contém uma penicilina chamada amoxicilina como ingrediente ativo. A amoxicilina pertence ao grupo dos antibióticos penicilânicos. **Amoxil[®]** é usado no tratamento de uma gama de infecções causadas por bactérias, que podem manifestar-se nos pulmões (pneumonia e bronquite), nas amígdalas (amigdalite), nos seios da face (sinusite), no trato urinário e genital, na pele e nas mucosas. **Amoxil[®]** atua destruindo as bactérias que causam essas infecções. ## **3."
